"GEO_ID","NAME","B05010_001E","B05010_001M","B05010_001MA","B05010_001EA","B05010_002E","B05010_002M","B05010_002MA","B05010_002EA","B05010_003E","B05010_003M","B05010_003MA","B05010_003EA","B05010_004E","B05010_004M","B05010_004MA","B05010_004EA","B05010_005E","B05010_005M","B05010_005MA","B05010_005EA","B05010_006E","B05010_006M","B05010_006MA","B05010_006EA","B05010_007E","B05010_007M","B05010_007MA","B05010_007EA","B05010_008E","B05010_008M","B05010_008MA","B05010_008EA","B05010_009E","B05010_009M","B05010_009MA","B05010_009EA","B05010_010E","B05010_010M","B05010_010MA","B05010_010EA","B05010_011E","B05010_011M","B05010_011MA","B05010_011EA","B05010_012E","B05010_012M","B05010_012MA","B05010_012EA","B05010_013E","B05010_013M","B05010_013MA","B05010_013EA","B05010_014E","B05010_014M","B05010_014MA","B05010_014EA","B05010_015E","B05010_015M","B05010_015MA","B05010_015EA","B05010_016E","B05010_016M","B05010_016MA","B05010_016EA","B05010_017E","B05010_017M","B05010_017MA","B05010_017EA","B05010_018E","B05010_018M","B05010_018MA","B05010_018EA","B05010_019E","B05010_019M","B05010_019MA","B05010_019EA","B05010_020E","B05010_020M","B05010_020MA","B05010_020EA","B05010_021E","B05010_021M","B05010_021MA","B05010_021EA","B05010_022E","B05010_022M","B05010_022MA","B05010_022EA","B05010_023E","B05010_023M","B05010_023MA","B05010_023EA","B05010_024E","B05010_024M","B05010_024MA","B05010_024EA","B05010_025E","B05010_025M","B05010_025MA","B05010_025EA",
"1600000US0455000","Phoenix city, Arizona","377846","10163","null","null","81587","10594","null","null","24567","6517","null","null","6771","1966","null","null","14096","5812","null","null","3700","1932","null","null","57020","8039","null","null","35819","6997","null","null","21201","4149","null","null","96402","9301","null","null","53979","7494","null","null","18981","4784","null","null","24620","4962","null","null","10378","3648","null","null","42423","5210","null","null","28070","4277","null","null","14353","4010","null","null","199857","9396","null","null","145110","8141","null","null","92900","7255","null","null","27992","4443","null","null","24218","4129","null","null","54747","6492","null","null","44430","5515","null","null","10317","2558","null","null",
"1600000US0458150","Queen Creek town, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0464210","San Tan Valley CDP, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0465000","Scottsdale city, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0471510","Surprise city, Arizona","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0473000","Tempe city, Arizona","24744","3401","null","null","3936","1552","null","null","1345","854","null","null","736","639","null","null","448","427","null","null","161","269","null","null","2591","1408","null","null","2591","1408","null","null","0","224","null","null","4539","2314","null","null","1422","986","null","null","1224","956","null","null","198","236","null","null","0","224","null","null","3117","2071","null","null","2953","2055","null","null","164","263","null","null","16269","2710","null","null","13844","2673","null","null","10075","2515","null","null","888","573","null","null","2881","1454","null","null","2425","935","null","null","2345","907","null","null","80","126","null","null",
"1600000US0477000","Tucson city, Arizona","106183","5311","null","null","27821","4094","null","null","7607","2277","null","null","3147","1354","null","null","3012","1522","null","null","1448","1016","null","null","20214","3718","null","null","18200","3561","null","null","2014","1254","null","null","31268","4801","null","null","14319","3341","null","null","8010","2451","null","null","3238","1516","null","null","3071","1834","null","null","16949","3730","null","null","14127","3379","null","null","2822","1702","null","null","47094","5262","null","null","33521","4679","null","null","25230","4087","null","null","2517","949","null","null","5774","2115","null","null","13573","2800","null","null","11466","2462","null","null","2107","1540","null","null",
"1600000US0485540","Yuma city, Arizona","24921","2467","null","null","5710","1952","null","null","2111","1303","null","null","1161","922","null","null","185","221","null","null","765","940","null","null","3599","1477","null","null","3599","1477","null","null","0","224","null","null","8937","2465","null","null","3633","1626","null","null","2459","1299","null","null","777","717","null","null","397","507","null","null","5304","2106","null","null","4084","1968","null","null","1220","991","null","null","10274","2817","null","null","8170","2835","null","null","5743","2607","null","null","752","539","null","null","1675","785","null","null","2104","916","null","null","1730","906","null","null","374","360","null","null",
"1600000US0515190","Conway city, Arkansas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1600000US0523290","Fayetteville city, Arkansas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
