city,state_code,walk_score,bike_score
Eden Prairie,MN,18,48
Edina,MN,37,49
Lakeville,MN,14,37
Maple Grove,MN,13,46
Minneapolis,MN,71,83
Minnetonka,MN,21,37
Plymouth,MN,18,41
Rochester,MN,30,57
St. Cloud,MN,34,49
St. Paul,MN,60,64
Woodbury,MN,20,36
Gulfport,MS,23,37
Jackson,MS,26,33
Southaven,MS,19,28
Blue Springs,MO,25,31
Columbia,MO,30,40
Florissant,MO,39,39
Independence,MO,28,28
Joplin,MO,35,44
Kansas City,MO,35,35
Lee's Summit,MO,20,29
O'Fallon,MO,22,27
St. Charles,MO,33,30
St. Joseph,MO,32,27
St. Louis,MO,66,58
St. Peters,MO,27,36
Springfield,MO,39,51
Billings,MT,35,47
Bozeman,MT,47,62
Great Falls,MT,44,43
Missoula,MT,45,60
Bellevue,NE,33,29
Grand Island,NE,39,49
Lincoln,NE,44,59
Omaha,NE,48,42
Carson City,NV,36,55
Henderson,NV,30,44
Las Vegas,NV,42,46
North Las Vegas,NV,34,48
Reno,NV,40,52
Sparks,NV,41,52
Manchester,NH,51,42
Nashua,NH,39,35
Bayonne,NJ,79,51
Camden,NJ,63,56
Clifton,NJ,62,44
East Orange,NJ,70,47
Elizabeth,NJ,80,54
Hoboken,NJ,97,78
Jersey City,NJ,87,64
Newark,NJ,76,51
New Brunswick,NJ,73,60
Passaic,NJ,82,50
Paterson,NJ,76,46
Perth Amboy,NJ,73,50
Plainfield,NJ,54,48
Trenton,NJ,68,56
Union City,NJ,94,54
Vineland,NJ,26,35
Albuquerque,NM,43,61
Las Cruces,NM,34,46
Rio Rancho,NM,16,32
Santa Fe,NM,39,50
Albany,NY,65,55
Buffalo,NY,67,63
Mount Vernon,NY,73,43
New Rochelle,NY,64,47
New York,NY,88,69
Rochester,NY,61,60
Schenectady,NY,62,48
Syracuse,NY,57,48
Troy,NY,52,42
Utica,NY,54,45
White Plains,NY,63,39
Yonkers,NY,69,37
Asheville,NC,37,33
Burlington,NC,33,35
Charlotte,NC,26,31
Concord,NC,18,24
Durham,NC,30,38
Fayetteville,NC,21,30
Gastonia,NC,23,27
Greensboro,NC,29,32
Greenville,NC,31,43
High Point,NC,23,31
Jacksonville,NC,24,40
Kannapolis,NC,22,26
Raleigh,NC,31,39
Rocky Mount,NC,22,33
Wilmington,NC,35,51
Winston-Salem,NC,22,29
Bismarck,ND,35,38
Fargo,ND,45,49
Grand Forks,ND,47,62
Akron,OH,48,43
Canton,OH,48,43
Cincinnati,OH,49,36
Cleveland,OH,57,52
Columbus,OH,41,48
Cuyahoga Falls,OH,46,41
Dayton,OH,45,47
Elyria,OH,29,39
Hamilton,OH,42,41
Kettering,OH,41,43
Lakewood,OH,70,64
Lorain,OH,38,40
Middletown,OH,33,37
Newark,OH,36,44
Parma,OH,42,38
Springfield,OH,42,46
Toledo,OH,46,46
Youngstown,OH,34,34
Broken Arrow,OK,22,32
Edmond,OK,29,34
Enid,OK,30,41
Lawton,OK,34,40
Midwest City,OK,29,37
Moore,OK,32,35
Norman,OK,31,58
Oklahoma City,OK,34,40
Tulsa,OK,39,47
Albany,OR,33,52
Beaverton,OR,52,67
Bend,OR,32,53
Corvallis,OR,47,85
Eugene,OR,46,72
Gresham,OR,47,64
Hillsboro,OR,44,72
Medford,OR,38,53
Portland,OR,67,83
Salem,OR,42,60
Springfield,OR,46,63
Tigard,OR,43,62
Allentown,PA,67,42
Bethlehem,PA,59,45
Erie,PA,60,52
Harrisburg,PA,68,57
Lancaster,PA,81,58
Philadelphia,PA,75,67
Pittsburgh,PA,62,55
Reading,PA,72,47
Scranton,PA,58,38
Cranston,RI,51,43
Pawtucket,RI,71,50
Providence,RI,76,61
Warwick,RI,35,36
Charleston,SC,40,50
Columbia,SC,35,35
Greenville,SC,43,39
North Charleston,SC,26,38
Rock Hill,SC,28,31
Rapid City,SD,28,36
Sioux Falls,SD,38,46
Bartlett,TN,15,33
Chattanooga,TN,29,35
Clarksville,TN,18,27
Franklin,TN,23,30
Hendersonville,TN,14,24
Jackson,TN,22,32
Johnson City,TN,26,26
Kingsport,TN,25,26
Knoxville,TN,31,30
Memphis,TN,35,41
Murfreesboro,TN,25,38
Spring Hill,TN,11,24
Abilene,TX,31,37
Allen,TX,35,58
Amarillo,TX,40,42
Arlington,TX,38,40
Austin,TX,42,54
Baytown,TX,33,38
Beaumont,TX,31,37
Brownsville,TX,35,41
Bryan,TX,33,45
Burleson,TX,28,37
Carrollton,TX,36,39
Cedar Park,TX,26,40
College Station,TX,34,62
Conroe,TX,24,38
Corpus Christi,TX,40,42
Dallas,TX,46,49
Denton,TX,34,46
DeSoto,TX,23,29
Edinburg,TX,26,36
El Paso,TX,40,42
Euless,TX,38,37
Fort Worth,TX,35,39
Frisco,TX,25,39
Galveston,TX,54,57
Garland,TX,40,41
Georgetown,TX,23,35
Grand Prairie,TX,32,34
Grapevine,TX,30,38
Harlingen,TX,34,39
Houston,TX,47,49
Irving,TX,45,42
Killeen,TX,30,38
Kyle,TX,17,28
Laredo,TX,37,40
League City,TX,24,34
Leander,TX,28,41
Lewisville,TX,39,39
Little Elm,TX,24,32
Longview,TX,28,33
Lubbock,TX,39,43
McAllen,TX,41,46
McKinney,TX,27,42
Mansfield,TX,25,33
Mesquite,TX,35,40
Midland,TX,42,40
Mission,TX,30,37
Missouri City,TX,25,34
New Braunfels,TX,25,32
North Richland Hills,TX,33,42
Odessa,TX,42,40
Pasadena,TX,43,45
Pearland,TX,21,36
Pflugerville,TX,23,39
Pharr,TX,33,41
Plano,TX,41,52
Port Arthur,TX,33,38
Richardson,TX,44,53
Round Rock,TX,26,35
Rowlett,TX,19,30
San Angelo,TX,32,37
San Antonio,TX,37,45
San Marcos,TX,39,43
Sugar Land,TX,28,37
Temple,TX,29,36
Texas City,TX,36,44
Tyler,TX,35,35
Victoria,TX,35,41
Waco,TX,35,39
Wichita Falls,TX,29,39
Wylie,TX,17,33
Draper,UT,17,33
Herriman,UT,13,28
Layton,UT,30,38
Lehi,UT,20,40
Logan,UT,40,51
Millcreek,UT,46,46
Ogden,UT,44,44
Orem,UT,43,56
Provo,UT,45,63
St. George,UT,27,45
Salt Lake City,UT,59,74
Sandy,UT,35,37
South Jordan,UT,26,44
