pop_estimate_2021,land_area_sqkm,pop_per_km2,median_age,male,female,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,hispanic_or_latino,access2,arthritis,binge,bphigh,bpmed,cancer,casthma,cervical,chd,checkup,cholscreen,colon_screen,copd,corem,corew,csmoking,dental,depression,diabetes,ghlth,highchol,kidney,lpa,mammouse,mhlth,obesity,phlth,sleep,stroke,teethlost,cumulative_confirmed,cumulative_deceased,walk_score,bike_score,drive_commute,public_transit_commute,walk_commute,bike_commute,work_from_home,households,mean_household_income,mean_income,median_household_income,living_wage,poverty,unemployment_rate,median_aqi,violent_crime,property_crime
147691,125.570737,1176.1577858701269,32.8,0.470448436262196,0.5322328374782485,0.3405420777163131,0.2554048655639138,0.0138735603388155,0.0291080702277051,0.0008125071940741,0.2019283504072692,0.1746958176192185,0.4487206397139974,31.6,20.15,17.3,31.05,65.5,5.1,9.1,78.25,5.75,69.95,83.4,62.45,5.85,41.25,33.75,16.45,53.8,19.65,12.6,18.5,30.55,3.05,28.15,70.75,15.0,36.05,11.05,35.0,3.1,12.95,0.2272195780440968,0.0026823796335612,35,40,87.2,0.0,1.0,0.3,10.1,0.3522421813109803,80165.0,28429.0,60957.0,37075.0,0.134314210073735,6.9,42.0,0.0046380618995064,0.0351883323966931
131325,195.413922,672.0350252220004,31.9,0.4944298496097468,0.5053188654102417,0.5809099562154959,0.079543118218161,0.0089472682276794,0.0266590519703026,0.0012411955073291,0.1266171711403007,0.185212259661146,0.4200342661336379,31.15,19.450000000000003,19.5,29.05,62.45,5.15,8.7,80.1,5.35,69.6,83.5,65.1,5.25,43.3,36.5,15.6,55.3,19.8,10.65,15.85,30.6,2.6,24.15,71.05000000000001,14.85,36.05,9.95,36.35,2.5,10.6,0.3115172282505235,0.0037768893965353,42,40,87.2,0.0,1.0,0.3,10.1,0.4028022082619455,97646.0,39039.0,72038.0,38464.0,0.12695983247668,5.2,42.0,0.0046380618995064,0.0351883323966931
86223,94.080376,916.4823065758156,33.1,0.4925483919603818,0.5073588253714206,0.3384595757512497,0.0059612864316945,0.005903297264071,0.0148220312445635,0.0003479350057409,0.1933010913561346,0.4360437470280551,0.8809250432019299,49.85,19.8,17.450000000000003,34.35,67.65,4.45,8.8,71.94999999999999,7.1,68.85,80.65,55.4,6.35,30.65,27.15,16.6,49.75,20.05,18.55,28.05,31.45,3.85,33.15,68.15,15.75,42.45,14.75,34.0,3.45,14.05,0.5027345066852928,0.0094804316033789,30,37,87.2,0.0,1.0,0.3,10.1,0.3262238613826937,74354.0,24573.0,57749.0,30150.0,0.2108950048131009,7.9,44.0,0.0012177725200932,0.0187652946429606
74850,75.135111,996.2053559753176,42.0,0.4792117568470274,0.5423246492985971,0.2202805611222444,0.4081229124916499,0.005317301269205,0.1818570474281897,0.0004676018704074,0.0784502338009352,0.0976085504342017,0.1878289913159652,22.6,18.35,16.0,31.75,65.2,5.05,8.2,78.5,4.85,71.05,87.05000000000001,64.15,4.25,44.4,36.25,12.85,63.2,16.8,11.25,13.05,33.1,2.45,21.65,73.6,12.8,30.950000000000003,8.35,36.4,2.4,8.3,1.028329795953817,0.0068395368656465,25,34,87.2,0.0,1.0,0.3,10.1,0.3981429525718102,98413.0,37776.0,81451.0,35250.0,0.0533734134936539,7.9,44.0,0.0012177725200932,0.0187652946429606
98857,117.014663,844.825746325484,37.0,0.4944212347127669,0.483051276085659,0.6212407821398586,0.0263815410137875,0.0063930728223595,0.0135448172612966,0.0015679213409267,0.077303579918468,0.1680508208826891,0.3162649078972657,23.0,21.700000000000003,18.45,30.2,66.5,6.4,8.55,81.15,6.0,70.44999999999999,85.5,66.95,5.65,46.65,37.5,13.8,62.45,19.85,10.65,13.9,32.2,2.75,21.8,69.25,13.75,33.900000000000006,9.6,30.85,2.6,8.55,0.3521450175506034,0.0055737074764558,25,32,87.2,0.0,1.0,0.3,10.1,0.3825222290783657,102277.0,39081.0,89073.0,33032.0,0.0408468798365315,3.5,46.0,0.0022153211204062,0.0113294961408903
70209,47.041668,1492.4853429942152,41.2,0.5168140836644874,0.4832286459000983,0.6897548747311598,0.069820108533094,0.0078195103191898,0.0421171074933413,0.0027774216980728,0.0577846145081114,0.1257673517640188,0.1874118702730419,26.35,20.5,16.2,30.8,64.7,5.45,9.55,77.25,5.6,71.85,84.1,66.05000000000001,5.75,47.85,39.7,15.95,55.650000000000006,19.55,11.3,15.55,33.8,2.8,25.05,72.45,14.55,37.7,10.35,34.150000000000006,2.8,11.0,0.3194016167546411,0.0033242890229451,33,42,87.2,0.0,1.0,0.3,10.1,0.3836687604153314,98367.0,39348.0,78496.0,35144.0,0.0870543662493412,3.5,46.0,0.0020367759119201,0.0182170377017191
112483,132.297894,850.2251744082942,32.0,0.5424730848217064,0.4926700034671906,0.5048140607914084,0.0667834250508965,0.0100815234302072,0.0224300560973658,0.0024625943475903,0.1891219117555541,0.2215979303539201,0.5711440839949148,38.25,20.55,18.75,30.15,62.85,4.8,8.95,77.75,5.9,68.35,82.15,62.1,5.8,38.55,32.35,17.35,47.0,20.55,12.4,20.0,30.4,2.9,30.700000000000003,69.44999999999999,15.65,39.5,11.5,36.4,2.75,13.1,0.3337748815376545,0.0062498333081443,42,40,63.1,0.5,1.1,0.3,33.3,0.4314429736049003,82697.0,33346.0,61964.0,34163.0,0.1657317105695971,6.2,26.0,0.0113972778108691,0.0322182018616146
148626,113.125835,1313.811296950869,34.7,0.4750985695638717,0.5249216153297539,0.4442896935933147,0.0367903327816129,0.0125819170266306,0.0233337370312058,0.0004911657448898,0.2518267328731177,0.2530512830864048,0.6932636281673462,32.0,19.25,18.05,31.6,63.0,4.949999999999999,8.850000000000001,79.7,5.75,71.5,84.1,64.65,5.6,37.4,36.75,15.95,51.45,18.55,12.7,17.9,33.85,2.95,28.55,72.45,14.6,37.8,10.95,33.8,2.95,12.55,0.4099384922178525,0.0043550812191687,43,45,63.1,0.5,1.1,0.3,33.3,0.3404384158895482,78424.0,26926.0,60939.0,35250.0,0.1533648217673892,11.7,54.0,0.0113972778108691,0.0322182018616146
125990,126.064943,999.4055206926164,36.1,0.4449083260576236,0.5130565917929995,0.4247321215969521,0.1983570124613064,0.0053020080958806,0.1495991745376617,0.0006667195809191,0.0730772283514564,0.1469799190411937,0.2470434161441384,27.1,20.55,19.15,31.950000000000003,64.95,5.35,8.5,78.3,5.65,68.7,85.05,61.25,5.35,35.8,33.15,15.7,57.2,18.95,11.45,15.3,30.65,2.7,26.05,68.7,14.45,39.2,9.8,36.85,2.6500000000000004,11.15,0.748035558377649,0.0078022065243273,21,36,63.1,0.5,1.1,0.3,33.3,0.341392173982062,124579.0,45214.0,103227.0,32881.0,0.0237399793634415,11.7,34.0,0.0008968965790935,0.0164378125248035
66884,66.189477,1010.4929519234606,38.0,0.4925094192931045,0.5047395490700317,0.4583906464924346,0.1497368578434304,0.0087464864541594,0.0825758028826027,0.0016745409963518,0.0950002990251779,0.1785628849949165,0.3038544345433885,21.950000000000003,17.5,19.2,24.950000000000003,60.45,5.050000000000001,8.5,81.45,4.85,68.9,84.4,69.6,4.35,50.5,41.95,12.15,61.35,21.5,8.65,12.75,30.1,2.4,18.95,75.5,13.7,29.450000000000003,8.55,30.65,2.25,8.399999999999999,0.2203817232928022,0.0016827326414247,23,39,63.1,0.5,1.1,0.3,33.3,0.3569613061419771,125918.0,46388.0,103687.0,37528.0,0.0652173913043478,11.7,43.0,0.0009568805693439,0.0123945936247832
79697,61.192035,1302.408066670769,30.1,0.4674078070692748,0.5325921929307251,0.3245291541714242,0.0029612156041005,0.0063239519680791,0.004128135312496,7.528514247713214e-05,0.2650413440907437,0.3971667691381106,0.9435612381896432,49.85,19.8,17.450000000000003,34.35,67.65,4.45,8.8,71.94999999999999,7.1,68.85,80.65,55.4,6.35,30.65,27.15,16.6,49.75,20.05,18.55,28.05,31.45,3.85,33.15,68.15,15.75,42.45,14.75,34.0,3.45,14.05,0.5027345066852928,0.0094804316033789,33,41,63.1,0.5,1.1,0.3,33.3,0.3111409463342409,53993.0,17321.0,32217.0,30150.0,0.4214085850157471,5.1,44.0,0.0029486680803543,0.0178551262908265
288253,185.667954,1552.5188584778612,38.3,0.4948465410594165,0.5009349425678137,0.4904892577007004,0.0885437445577322,0.0069765102184539,0.2392342837715479,0.0005481295944881,0.0595726670667781,0.105063954234648,0.158884729733949,18.5,19.3,17.4,28.95,64.35,5.45,8.2,81.4,4.8,72.5,86.80000000000001,69.65,4.35,45.35,38.400000000000006,12.05,63.5,18.85,9.4,11.0,32.849999999999994,2.3,19.15,75.44999999999999,12.75,28.3,7.800000000000001,33.15,2.2,7.3,0.266940494919212,0.0018638625862051,41,52,63.1,0.5,1.1,0.3,33.3,0.3763083124893756,129480.0,49792.0,95002.0,37075.0,0.0871352596503765,5.1,37.0,0.0014952142735721,0.01702670917562
55724,199.654539,279.10209444324227,38.3,0.4948465410594165,0.5009349425678137,0.2421936687962099,0.3825999569305864,0.00967267245711,0.0596331921613667,0.0004665853133299,0.1903129710717105,0.1207738137965688,0.3798183906395808,29.45,24.0,17.15,39.05,67.75,5.65,9.9,77.85,6.949999999999999,73.35,84.15,65.15,7.4,35.15,35.75,20.0,48.6,20.75,14.1,20.65,31.95,3.4,28.85,71.7,15.85,39.7,12.55,39.85,3.75,15.55,0.2930591870691704,0.0050095079629189,33,38,63.1,0.5,1.1,0.3,33.3,0.3763083124893756,129480.0,49792.0,95002.0,31523.0,0.0871352596503765,5.1,39.0,0.0014952142735721,0.01702670917562
116382,73.986154,1573.0240552847226,35.7,0.4865357185819113,0.513352580295922,0.5566410613325085,0.1102318227904658,0.0056967572304995,0.1761612620508326,0.0005842827928717,0.064528879036277,0.1126806550841195,0.1763846642951659,31.6,20.15,17.3,31.05,65.5,5.1,9.1,78.25,5.75,69.95,83.4,62.45,5.85,41.25,33.75,16.45,53.8,19.65,12.6,18.5,30.55,3.05,28.15,70.75,15.0,36.05,11.05,35.0,3.1,12.95,0.2272195780440968,0.0026823796335612,44,53,63.1,0.5,1.1,0.3,33.3,0.3879294048907907,117252.0,46080.0,85580.0,37075.0,0.0963293292777233,7.0,42.0,0.0013319771384287,0.0180422357841712
123876,97.485892,1270.7069449597898,35.3,0.5072249669023863,0.5190432367851723,0.518986728664148,0.0980415899770738,0.0081856049597985,0.0792243856759985,0.0016629532758565,0.092931641318738,0.1653831250605444,0.2885466111272562,22.1,21.450000000000003,19.6,28.65,63.95,5.65,8.5,80.75,5.0,70.4,85.45,68.95,4.75,56.45,43.45,12.6,63.55,20.05,9.5,12.0,32.35,2.4,19.35,72.1,13.25,30.65,8.5,32.4,2.25,8.15,0.3926887715038263,0.0027092575475279,26,35,84.4,0.2,3.7,0.2,10.6,0.4015305628208854,98320.0,38765.0,79649.0,37528.0,0.0857228195937873,5.3,42.0,0.0013319771384287,0.0180422357841712
63671,53.728029,1185.061153090131,35.3,0.5072249669023863,0.5190432367851723,0.5210535408584756,0.1737054546025663,0.0075544596441079,0.0789841529110584,0.0006439352295393,0.0662467999560239,0.1339699392187966,0.208210959463492,31.6,20.15,17.3,31.05,65.5,5.1,9.1,78.25,5.75,69.95,83.4,62.45,5.85,41.25,33.75,16.45,53.8,19.65,12.6,18.5,30.55,3.05,28.15,70.75,15.0,36.05,11.05,35.0,3.1,12.95,0.2272195780440968,0.0026823796335612,19,30,84.4,0.2,3.7,0.2,10.6,0.4015305628208854,98320.0,38765.0,79649.0,37075.0,0.0857228195937873,5.3,42.0,0.0013319771384287,0.0180422357841712
99667,154.60903399999998,644.6389154724297,34.8,0.5039481473306109,0.5100584947876429,0.6292052534941355,0.0436955060350968,0.0087993016745763,0.0173377346564058,0.001665546269076,0.1123641726950746,0.1892000361202805,0.4245035969779365,29.6,22.0,18.9,31.3,65.05,5.75,8.95,78.55,6.3,69.9,83.44999999999999,65.05,6.2,41.25,37.65,16.200000000000003,51.65,22.15,11.7,17.200000000000003,31.9,2.9,25.85,69.80000000000001,15.2,35.8,10.9,34.2,2.8,11.45,0.4120521336049043,0.0055484764265002,32,37,84.4,0.2,3.7,0.2,10.6,0.3919552108521376,72852.0,28769.0,60030.0,31311.0,0.1358122548085123,4.2,42.0,0.0035819278196393,0.0318360139263748
1451853,1291.999948,1123.7252774254755,34.1,0.4925705288345308,0.5074363589151243,0.438062944388998,0.0708170868538343,0.0120831792199348,0.0329124229519104,0.0014753559761215,0.1653666039192673,0.2674161915841342,0.6309247561564428,33.2,20.700000000000003,17.1,33.05,64.7,5.05,9.1,77.75,6.1,71.4,83.9,64.6,5.4,48.5,35.05,14.55,53.650000000000006,20.55,13.45,19.35,31.65,3.0,25.200000000000003,68.30000000000001,15.15,39.55,11.05,36.75,2.8,11.55,0.3892343095340919,0.0042228793135393,37,45,80.1,1.7,1.4,0.2,15.1,0.3783062059313167,74838.0,28860.0,54923.0,33032.0,0.167319280946487,7.2,48.0,0.0076082082690189,0.0464385857245878
68580,92.180603,743.9743044423349,24.3,0.4750218722659667,0.5249489647127442,0.5409740449110528,0.0709827938174395,0.0087634878973461,0.029352580927384,0.0010207057451151,0.1253426655001458,0.2085885097696121,0.400116652085156,36.85,23.2,17.6,34.650000000000006,66.2,5.45,9.2,76.75,6.9,69.05,81.94999999999999,61.85,7.15,34.25,33.0,18.9,48.8,21.6,13.65,21.55,33.3,3.3,31.8,68.05000000000001,15.95,39.6,12.8,33.7,3.3,14.7,0.2090842811315252,0.0025663458734324,39,43,80.1,1.7,1.4,0.2,15.1,0.3939195100612423,52262.0,20854.0,36080.0,37528.0,0.2929279673374161,8.7,48.0,0.0035141440653251,0.0223097112860892
109373,104.811332,1043.5226603169208,41.6,0.5015771716968539,0.4980936794272809,0.4131366973567517,0.0742596436049116,0.0033554899289587,0.3916048750605725,0.0003657209731835,0.0318360107156245,0.1005549815768059,0.1227908167463633,22.6,18.35,16.0,31.75,65.2,5.05,8.2,78.5,4.85,71.05,87.05000000000001,64.15,4.25,44.4,36.25,12.85,63.2,16.8,11.25,13.05,33.1,2.45,21.65,73.6,12.8,30.950000000000003,8.35,36.4,2.4,8.3,1.028329795953817,0.0068395368656465,28,37,80.1,1.7,1.4,0.2,15.1,0.3383650443893831,163904.0,54506.0,112868.0,35250.0,0.0507437850292119,6.7,42.0,0.0035141440653251,0.0223097112860892
85416,184.330388,463.3853426272829,34.9,0.5133698604476913,0.4867706284536855,0.5660883206893322,0.1483679872623396,0.0085581155755362,0.0253348318816146,0.0022127001966844,0.0883323967406574,0.1219677812119509,0.2519785520277231,26.55,22.15,18.35,32.15,65.75,5.3,9.7,78.45,6.0,73.44999999999999,83.8,64.75,6.199999999999999,43.6,38.45,17.700000000000003,57.5,20.950000000000003,12.0,17.65,29.75,2.9,25.1,71.1,16.1,38.7,10.95,38.75,3.0,12.45,0.2784294740500751,0.0037281164529516,29,36,89.2,0.1,0.8,0.4,8.3,0.4023953357684743,79443.0,32962.0,58284.0,31130.0,0.096422215978271,7.4,42.0,0.0025405076332303,0.0201133277137772
54247,171.654342,316.0246304751208,34.9,0.5133698604476913,0.4867706284536855,0.4311943517613877,0.2677198739100779,0.0085534683945655,0.0132357549726252,0.000847973159806,0.103729238483234,0.1314174055708149,0.2970855531181448,25.1,22.450000000000003,17.9,34.25,65.69999999999999,5.85,9.3,79.65,6.050000000000001,71.5,84.7,66.5,6.050000000000001,37.35,40.95,16.35,55.15,20.9,11.4,15.5,32.3,2.85,23.55,72.45,14.8,35.75,10.35,34.3,2.85,10.55,0.4331371239257423,0.0038240660626465,36,44,89.2,0.1,0.8,0.4,8.3,0.4023953357684743,79443.0,32962.0,58284.0,35250.0,0.096422215978271,7.4,39.0,0.0025405076332303,0.0201133277137772
107192,148.806389,720.3454147388793,33.9,0.4983300992611389,0.5017352041197104,0.5186394507052765,0.2285245167549817,0.0064277184864542,0.0282483767445331,0.0005317561012015,0.1111370251511306,0.0953242779311888,0.2241118740204493,25.65,25.1,17.299999999999997,34.25,67.0,6.3,9.45,79.55,6.75,75.5,83.85,69.0,6.95,50.15,35.650000000000006,17.5,55.6,22.4,12.1,17.75,32.55,3.1,25.5,71.6,15.7,38.7,11.5,34.55,3.25,13.65,0.4252276289275319,0.0090305246660198,35,35,89.2,0.1,0.8,0.4,8.3,0.3374225688484215,82555.0,29874.0,54998.0,35084.0,0.1327804313754758,6.3,35.0,0.0037409508172251,0.0299089484289872
65377,96.781869,675.5087567073126,33.3,0.5035715924560625,0.4965354788381235,0.5362283371828013,0.0779326062682594,0.0079385716689355,0.020894198265445,0.0005200605717607,0.1409823026446609,0.2179053795677379,0.5191122260122061,33.35,23.15,17.6,34.15,66.30000000000001,5.75,9.05,77.95,6.75,69.5,83.1,64.1,6.699999999999999,39.75,33.8,17.35,51.65,21.3,13.05,19.7,32.25,3.2,29.05,69.0,15.55,37.95,12.2,34.8,3.15,12.6,0.2893831163864968,0.0063172063569756,35,41,89.2,0.1,0.8,0.4,8.3,0.3886687978952843,69671.0,25789.0,54786.0,32458.0,0.1906480872478088,7.5,32.0,0.0053076770117931,0.0301941049604601
139594,229.817124,607.4133970974243,29.5,0.4715030731979884,0.5285470722237345,0.4948851669842543,0.1996360875109245,0.0103801022966603,0.0258750376090662,0.0008309812742668,0.1333223490980987,0.127132971331146,0.3141753943579237,28.05,23.85,17.950000000000003,33.849999999999994,65.75,5.8,9.9,77.15,6.8,71.6,82.35,66.80000000000001,7.35,43.8,39.0,18.35,51.2,22.65,12.45,18.9,32.55,3.2,27.0,70.55,16.15,34.599999999999994,12.1,37.0,3.35,13.9,0.4332062982649684,0.0064615957705918,35,39,85.0,0.0,2.2,0.0,12.6,0.3817212774188002,71645.0,28948.0,49952.0,31900.0,0.1913262747682565,5.5,37.0,0.0057237417080963,0.0329455420720088
102988,186.506076,552.1964871535874,32.7,0.5154095622791005,0.4845710179826776,0.6199945624732979,0.1292869072124907,0.0110886705247213,0.0247310366256262,0.0014953198430885,0.0938653046956927,0.1130131665825144,0.2250844758612654,26.8,23.5,18.65,32.8,66.0,5.9,9.5,77.94999999999999,6.75,71.0,82.55,64.94999999999999,7.35,40.75,34.900000000000006,19.25,52.2,22.25,11.75,17.95,32.2,3.05,25.75,68.94999999999999,16.15,36.8,11.7,36.35,3.2,13.2,0.3315240610556569,0.0065930011263448,29,39,80.6,0.2,8.3,0.3,8.2,0.3694702295413057,70049.0,27045.0,50786.0,30376.0,0.124587330562784,4.0,37.0,0.003534392356391,0.0309065133801996
59394,57.126088,1039.7001103943965,32.7,0.5154095622791005,0.4845710179826776,0.536619860591979,0.133464659729939,0.0079469306663972,0.096693268680338,0.0009260194632454,0.0788800215509984,0.1140182510017847,0.189581439202613,31.6,20.15,17.3,31.05,65.5,5.1,9.1,78.25,5.75,69.95,83.4,62.45,5.85,41.25,33.75,16.45,53.8,19.65,12.6,18.5,30.55,3.05,28.15,70.75,15.0,36.05,11.05,35.0,3.1,12.95,0.2272195780440968,0.0026823796335612,17,33,80.6,0.2,8.3,0.3,8.2,0.3694702295413057,70049.0,27045.0,50786.0,37075.0,0.124587330562784,4.0,42.0,0.0006229585480014,0.0064147893726639
